"date","C_uk_mean","C_uk_q.025","C_uk_q.975","C_uk_real","C_uk-cn_mean","C_uk-cn_q.025","C_uk-cn_q.975","C_uk-kr_mean","C_uk-kr_q.025","C_uk-kr_q.975"
"2020-05-26",263670.35,262722.375,264563.8,NA,239672.56,239165.125,240289.625,243979.66,243303.575,244519.6
"2020-05-27",265277.21,264328.4,266194.575,NA,240150.66,239609.8,240792.875,244532.82,243845.325,245086.1
"2020-05-28",266751.93,265775.1,267743.125,NA,240580.54,240028,241234.075,245201.68,244514.05,245759.1
"2020-05-29",268111.11,267060.275,269134.7,NA,240960.08,240379.1,241615.35,245715.69,244996.45,246297.65
"2020-05-30",269351.57,268292.175,270396.025,NA,241296.81,240694.725,241962.1,246116.49,245381.775,246702.275
"2020-05-31",270477.58,269420.85,271572.325,NA,241597.56,240981.075,242270.975,246763.3,246016.25,247340.575
"2020-06-01",271507.45,270444.175,272690.35,NA,241864.99,241239.675,242539.35,247418.5,246662.925,247984.875
"2020-06-02",272438.3,271360.475,273637.925,NA,242101.95,241474.2,242761.15,248086.4,247326.625,248718.475
"2020-06-03",273272.98,272227.7,274461.8,NA,242313.87,241682.5,242969.925,249011.63,248228.975,249706.525
"2020-06-04",274031.45,272968.8,275243.025,NA,242499.74,241872.775,243159.05,249639.78,248793.25,250351.075
"2020-06-05",274711.21,273684.4,275940.25,NA,242667.06,242040.45,243335.775,249958.67,249091.85,250677.7
"2020-06-06",275324.83,274303.5,276566.9,NA,242817.37,242189.85,243499.85,250606.65,249724.175,251370.6
"2020-06-07",275871.93,274823.275,277133.5,NA,242949.28,242309.225,243642.075,251072.3,250161.125,251838.2
"2020-06-08",276360.95,275296.225,277643.775,NA,243067.69,242415.825,243774.775,252015.2,251056.475,252859.475
"2020-06-09",276794.59,275695.675,278087.025,NA,243172.68,242508.6,243892.05,252635.21,251635.9,253518.425
"2020-06-10",277180.62,276084.65,278474.25,NA,243265.47,242602.35,243987.85,252916.2,251892.925,253815.675
"2020-06-11",277518.75,276432.35,278835.1,NA,243348.11,242677.5,244071.05,253133.91,252110,254041.1
"2020-06-12",277820.65,276721.275,279163.9,NA,243420.84,242747.825,244148.675,253506.07,252452.05,254433.125
"2020-06-13",278088.6,276965.025,279455.7,NA,243484.91,242808.725,244220.925,253827.81,252763.25,254787.325
"2020-06-14",278324.93,277190.775,279697.45,NA,243543.33,242868.475,244270.725,254123.39,253037.15,255102.75
"2020-06-15",278527.92,277382.775,279905.55,NA,243594.43,242919.05,244326.675,254396.03,253298.7,255412.125
"2020-06-16",278707.96,277551.95,280101.05,NA,243639.8,242965.1,244377.25,254651.16,253554.275,255680.6
"2020-06-17",278862.95,277689.475,280255.275,NA,243680.62,243005.35,244420.5,254885.49,253789.575,255934.55
"2020-06-18",278999.93,277821.375,280386.15,NA,243716.33,243050.35,244463.675,255100.09,253992.025,256148.625
"2020-06-19",279117.99,277942.825,280509.95,NA,243748.68,243084.225,244502.65,255300.07,254175.025,256361.975
"2020-06-20",279220.03,278034.725,280616.05,NA,243777.12,243117.375,244539.7,255486.24,254354.875,256550.2
"2020-06-21",279307.83,278117.525,280707.1,NA,243802.43,243145.325,244569.8,255659.7,254517.725,256728.675
"2020-06-22",279384.81,278192.55,280780,NA,243824.29,243164.575,244590.9,255815.21,254669.325,256889.25
"2020-06-23",279450.43,278259.15,280838.8,NA,243845.22,243184.3,244614.525,255963.04,254800.5,257051.9
"2020-06-24",279508.22,278327.35,280894.3,NA,243863.35,243202.25,244631.575,256098.23,254920.9,257193.325
"2020-06-25",279556.34,278376.225,280946.1,NA,243878.9,243220.4,244642.575,256221.2,255036.675,257311.125
"2020-06-26",279597.79,278415.75,280990.575,NA,243893.08,243231.675,244658.15,256337.36,255130.75,257435.8
"2020-06-27",279633,278446.425,281025.3,NA,243905.3,243240.725,244672.05,256445.59,255228.65,257542.625
"2020-06-28",279662.99,278473.95,281048.45,NA,243916.05,243250.45,244684,256546.61,255325.725,257654.9
"2020-06-29",279688.14,278498.475,281074.975,NA,243925.69,243258.45,244695,256637.77,255408.15,257753.925
"2020-06-30",279709.98,278517.9,281093.4,NA,243934.42,243266.125,244708.05,256722.35,255500.075,257839
"2020-07-01",279727.85,278532.9,281109.675,NA,243941.76,243270.55,244714.625,256801.59,255572.325,257917.275
"2020-07-02",279743.41,278548.375,281126,NA,243948.69,243277.125,244719.675,256873.5,255639.85,258007.075
"2020-07-03",279756.98,278557.325,281138.2,NA,243954.98,243284.75,244724.15,256940.2,255703.8,258080.45
"2020-07-04",279767.06,278566.8,281149.2,NA,243960.27,243289.225,244730.15,257002.03,255769.1,258144.275
"2020-07-05",279775.48,278572.475,281155.625,NA,243965.56,243292.7,244735.2,257060.09,255828.4,258208.875
"2020-07-06",279782.85,278578.425,281166.575,NA,243969.53,243294.75,244738.15,257113.08,255875.6,258267.625
"2020-07-07",279788.65,278586.475,281170.05,NA,243973.11,243298.275,244741.725,257161.8,255918.725,258314.75
"2020-07-08",279793.66,278590.95,281177,NA,243976.44,243303.8,244745.2,257206.4,255962.125,258373.7
"2020-07-09",279797.78,278593.425,281180.525,NA,243979.62,243305.85,244749.575,257247.69,255999.95,258418.375
"2020-07-10",279800.98,278596.85,281182.575,NA,243982.12,243309.475,244751.575,257286.79,256036.075,258463.55
"2020-07-11",279803.86,278599.75,281184.1,NA,243984.4,243310.9,244754.625,257321.78,256073.175,258498.775
"2020-07-12",279806.03,278603.225,281187.1,NA,243986.44,243311.425,244756.575,257355.27,256101.2,258532.2
"2020-07-13",279808.01,278604.75,281190.15,NA,243988.51,243313.375,244757.05,257385.6,256129.95,258568.775
"2020-07-14",279809.81,278605.225,281195.2,NA,243990.05,243314.85,244758.525,257413.7,256150.95,258598.425
"2020-07-15",279811.11,278606.275,281197.725,NA,243991.52,243314.85,244760.9,257440.04,256174.9,258631.425
"2020-07-16",279812.06,278606.275,281199.2,NA,243992.82,243315.375,244762.325,257464.58,256199.775,258655.75
"2020-07-17",279812.87,278607.275,281199.2,NA,243993.79,243315.9,244763.75,257486.98,256217.775,258683.75
"2020-07-18",279813.59,278607.75,281200.15,NA,243994.89,243318.425,244764.75,257507.96,256239.925,258704.275
"2020-07-19",279814.18,278608.225,281200.15,NA,243995.77,243319.375,244765.7,257526.82,256263.75,258726.175
"2020-07-20",279814.5,278608.225,281200.625,NA,243996.43,243319.9,244766.175,257545.06,256275.85,258748.925
"2020-07-21",279814.99,278609.275,281201.625,NA,243997.1,243321.425,244767.125,257561.79,256288.375,258776.825
"2020-07-22",279815.35,278610.275,281202.15,NA,243997.75,243321.95,244767.65,257576.65,256298.95,258795.35
